digit,code
1,2210210210210022100021002102222224444444465466544654446544654665444654465465444665446543244446665466666600000000002100221000210000210210000
0,000222210022210222222224322222244324322432443244432244444444444444444665444465465466544666546666666666666660766600007660760076000766000000002210000000000210021
1,1000000000000000000002222244444444322444444444444444444444444444444444444665466666076600000000000221000000000000
4,100002222244443224444444444443244443244444432222222210122222100000760000000000000000002224444444444432244444444443243244446544444444324444654666000000000000076607654666666546666666
0,102222100210222222222222222432443243243224432432432244444432444444654446654444654654666654466654666666666666666666660760076076607600000000000000000000210000022100210
0,0000210002100221022222222224324432444322444444444444444446654444444465446546546654465466666666076660000766000000000000000000000022100021
7,100002102222432222222222222222222102222224444444465466544446544444444654444444444444654444444466666600000000002100000000000002100000000221000000766666666666666666654322444466544466
3,222100222210222222222222222224322222222443222244444665446546666665466654432224324322432444432444444654446666544666546666666666666666607666600760760766000000000000022224444444444432
5,022102100222102222222222222224322222244324444466607666666666666666665466544654654322210222222222222243244444444444446544465446654446665446546666666666666000000222222102221022100210
3,210022221022222222222222432222224432444444444432243244324444444444654654665446546665466544666666666654666666076007600000210022244322222222210021022222210000210007654666666666660000
8,221021021002222222210222222222222222432443224444444466546546544666654666544444432444654444444466665446546666666666666660766670000000000221021000022222210760007660076000002100
9,002102102222100222102222222222432244443244466666666076666546665446666543222222102222102222244444444654654654665446544465444444446545654666666666600000021022100002102100002107666660
1,000000210000000000000222222444444444444444444444444444446654444444465444444446660000766000000000000000000000221
3,002102222222243244322222222222222222432222224444444465465443243243224324444444444465444665446665466666666666660766600766076000000002102222224444465324322222222102210021076076666660
3,102222100222102222222222432222224432432244444444443244324322444444444466546544654666654666544666666666665466666666666607670000000222222444322222210222222102222221002102222100007666
1,100000021000000210002210000222444444446544444444654444444466544444444444654446544446666660000210000022100000000021000
2,210022222222222221022222222432224444444444444444446546544466665444465432222222222222222222222444444666666546654466666666666654666607666660076600000000000022100002100021002107666546
0,021022100210210210121022222222444432224444444444444444444654444444465466544654654666654466666666546666666666076000000000000000210000210221021000021
7,100022100222221022222222222222222444432244466544446544465444465444665444444446544654654444446666660000002100021000022100002100000210021000221000021076666666654666666666666
5,102100222222102222222222222222222222432444444654666607666666666654666666544446543222222224432222222222222222243244432344444446654444654654466666666546666666607666600760760766000000
8,1000000210221021002221022222222222444432224444465446546654654465444324444444444654465466546665446666546666666666000000000021002210002221000021000760000
6,321021021022221002102102222100210222222444465466546546544666654654654466546665465466665446546654654444322102100210210222210021022222210222222222222244444444665444666544665466654666
2,310222210022210222222222224322244444444444446544446546654446544654446546653222222222222210022244322222244444666666666666666544666665466666666666076660000002102100221021000021021022
0,022102221002102222224324432222224322224324444324443224444324444444444654444665466654665446666666666546666660766666666007666076607600000000000000021000000221000210021
2,222222222222222210022222222244322222222244444444444446546654465444665446544456543222222210222222100222222244444466544666654666666666546666666666607660000000000000221002102210000210
3,100022221022210022221076666666666666660760000222222222222222222222222222243234444444666654465444322244322224444444444654665465446666546546666666654466666666666665466666666000022102
6,10021000000210222222432444465444444446544456544444444322221002222221022243244322444444446666546665444466665466666666660760000000007660000000000000000000221000
9,10210000210221002221022222222224322444444444444466546544446546544446654654446544446546654444666666660000221000210000210210000221021076666666600000000
9,2100210210222210021022222222432444432244444444444446654446544446544465444444665444465466666666000021000002210000210000766666666076000000000000
7,000021022222222222432222222222102222222222432344444444444466544444444654444654444466544443224444446666666666666000000002100000022100000021000000002100007666666666666076654654465466
8,1000000002102222100222102222222222222222224444446654446544654665465446546666544444444444444465444654465466666666666660760076600000000221000210022221021021000000
9,21000021021002210222222224324444324324432244444444665444444444444444444444444446666600000000000000000766665465466666666660007660000000000022100000
4,100000021000022243234444444665443222222222222222102210000002100002222224444446654444444444444654654665444465465444444654665465444466666600000000221021000021021000000766666546666546
9,00210210210022222222102222224322224432444446544444444466546544465446544466546544446544444466660760000000000000210000766666076607600000000210221
2,022222222222432224432222432432444432222222222222222222244465456666666654666666665444654465465466546544666666007666000000000000002221002222102221000076660766665466607666600000021
1,10000000000000210222243244446544444444444443244444444444444432222224444444444666666076007607660000000000000000000760000
3,222222221022221076007666666666666600000210000222222222222244443222444322444444444446654654443244322444444444444665446666654666666666666666076007660000000022222244443222243222222222
1,10000210000000021000000222222444444444465443244465444466544444444444465444444444446666666600000000000002100000000221000
1,0000002100000021000001210222444444444444444446544446544444466544465444465444444654666666000000000021000021000022100021
4,000021021022224444444465444665443222222221000022100021000021000022102222244444465465444466544432222224444666546666546544446544444466544444444666660000000000000210000007666666665446
9,100000000210022222210222222432224432432244466544444444444444465444444446544446546654466666546666666607660000002210000210002224446544443243221022210000210000000000007666666666600760
1,100000000000000000000222222224444444444444444444444444444466543224444444444665444466666076600000000000002210000000000
