digit,code
1,22102100021002100022100222102222224444446544466544654654444446666546544446544466665444465444444654666666000000000000021000222210000210002100
5,000222210000210210022221022243221022222444444654666666665465446654322224322244444444444444444654465444654466665466666666666666607600760000000022222444432222432102222102100002100017
2,022100021002100000076076666546544446660000000021000021022222222432222444432444444444444465444665444466654444443222432244466666666666660765465456665466666666000000002100002210222102
8,100022100222102222222222222432443243243224432444654444666654444432443224444466544654446544666654666666660766600760766076000021000221002100000760076600000000
4,000222222444444444444322224432100210002102210000210000210222222444444446546654444654444654322244444466666666544465444465444654444666666000021000000002100000022107666666660766076000
4,1000000210000222222444444665444444443222222221000000002210222224446544444444324444666544444444444444444444444466666600000000000000000000000076666666666660000000000
0,10221000000222222224324432222222243222222432443243224444444444444444444444446654654444666654666666666666666666607666007660760000007600000000000000021000210000
4,10021021000021022224324444443222210222102222100222444444444446544465444466546544446546544466544444465446546666076000021000000221000210000210210766654666654666666660760000002102210
4,000021022224444444444444665444654432222222222222100210210221021000021022100210222222444444665444666544446654444322444446654466666546654444446544465444466666600000000002100221000766
8,10000000002222222222221022222243222222444444444446654654654465466543224324444324444324446544446546666666666666660760076666000000000000221002102102107666000076000
7,221000222221002222222222222222221022222222444444444444444665465444465444665446546546544446654654444654666666076000021021000000221021000021021022100210002100766666607654654465466665
2,210002102100002210000007660766666666546666665466666000002222210022221022222222222222243244324444444444654444444465466544654444443222243222432222444466666666007666607666076666546546
8,0000210222222222224444324322244444444446544654443222432222224432222432432444444446544666654666666666666660766660076076000000000000000766076000000760000000021
2,210021021000022102222222222432443243224444446654654444654654665466654465466543224432432432222222210221022222222444665465446666665466666666076666660076544654666666666660000002210210
9,000022210210022221022222222444465466666666546654654444443244322221002102102210000210210222244444444446654444446544465444444444444444444446666660000000000210000000007666666666666076
4,10210000222222444444443210002100221021000021022222244444444654665446546544446543244466666654465444654444446654444446666600000000002100002107666666000000002210000210
8,1022210000221022210021022222222432244324444444444654444666654654443244324322444444444466544666665466666666666660766600766660000000000210221002221021076076000000
8,102100002102210021022222222222222243244324444444444654654466546665432432444444654654466665465465446666546666666666076000000000002100021000022221021076000000
1,100210002100000000000002222444432444654444444466544444465444444654444444444444654666600002100000000000000000221000
1,02100002100022100000021000022222244444444446654444446544444465465444466546544446544444465466666607600002100000021021000022100021
6,1022100021000021021012102222222244446666546546544446654654444324322432444444446544446654654654465466666666076600000000221000021000000002102100
